Saison;Nachname;Vorname;LfdNr;Gesamt;AnzSpiele;Tore;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2025/26;Walbaum;Jan;31;1429;21;4;0;0;29;26;45;45;90;90;90;72;90;79;90;0;90;90;90;90;0;25;0;9;45;90;90;64;0;0;0;0;;;;
2025/26;Wenning;Tom;32;90;1;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2024/25;Befus;Tim;1;45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;;;;
2024/25;Böggemann;Janes;2;1633;28;1;87;63;90;76;36;0;0;35;45;37;22;22;90;45;28;45;73;83;72;63;1;75;63;90;86;52;89;57;45;63;;;;
2024/25;Borgmann;Jonas;3;1099;22;0;0;16;24;15;12;1;0;0;0;59;64;62;90;12;83;18;0;32;0;28;0;30;90;0;28;90;90;75;90;90;;;;
2024/25;Büchter;Jakob;4;4;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2024/25;Demirdag;Engin;5;874;18;4;0;0;0;0;0;0;45;45;26;45;58;0;0;32;63;45;24;0;25;45;0;90;0;62;56;83;66;36;28;0;;;;
2024/25;Drewes;Malte;6;585;18;0;0;3;33;45;55;45;37;25;45;0;0;0;20;61;23;0;0;11;0;45;0;0;20;0;1;8;0;0;63;45;;;;
2024/25;Fousseni;Adinane;7;1738;24;3;90;90;67;90;0;90;90;90;90;90;90;90;90;0;90;79;0;59;19;90;90;0;0;12;35;25;2;90;0;90;;;;
2024/25;Guetat;Omar;8;898;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;80;12;90;90;90;41;90;90;0;25;82;28;90;;;;
2024/25;Große Wichtrup;Fynn;9;5;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2024/25;Haliti;Asdren;10;2078;26;5;90;90;90;90;90;90;90;56;0;45;90;69;0;0;0;12;90;90;90;78;90;90;90;90;90;90;90;90;63;45;;;;
2024/25;Heinz;Merlin;11;2361;28;2;76;83;58;90;90;90;54;0;59;73;90;90;86;90;72;90;90;0;90;90;90;90;90;90;90;90;90;90;90;90;;;;
2024/25;Houghton;Niklaas;12;1491;25;7;90;90;86;90;90;73;90;90;90;32;58;62;29;45;28;45;0;0;19;90;58;61;13;0;11;0;0;16;90;45;;;;
2024/25;Kappelhoff;Neo;13;6;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2024/25;Klöpper;Marius;14;2529;29;6;90;90;90;90;90;90;90;90;90;90;33;90;90;90;90;90;90;90;90;0;90;90;90;90;90;66;90;90;90;90;;;;
2024/25;Kock;Niclas;15;900;10;0;0;0;0;0;0;0;90;90;90;90;90;90;90;0;0;0;0;0;90;90;0;0;0;0;0;0;0;0;0;90;;;;
2024/25;Kötter;Marco;16;877;24;4;15;8;0;0;45;45;19;66;90;90;90;45;5;30;19;45;0;24;79;0;33;16;50;18;5;25;6;9;0;0;;;;
2024/25;Merker;Tim;17;2232;29;3;90;90;90;83;45;45;45;90;0;32;90;90;89;90;90;90;90;90;90;87;90;45;90;79;90;90;90;34;90;28;;;;
2024/25;Möllers;Henrik;18;1602;25;6;89;75;0;0;0;45;90;45;65;59;69;90;15;0;63;0;67;90;66;45;58;30;78;73;63;90;86;55;16;80;;;;
2024/25;Over;Janis;19;1719;20;0;90;90;90;90;90;90;0;0;0;0;0;0;0;90;90;90;90;90;0;0;90;90;90;90;90;90;90;90;9;0;;;;
2024/25;Rehr;Hannes;20;921;19;1;80;83;67;89;45;90;67;45;32;0;27;45;0;79;0;73;18;8;0;4;0;0;28;2;0;39;0;0;0;0;;;;
2024/25;Schomaker;Jonas;21;1237;28;16;4;28;90;64;74;18;45;62;19;18;33;29;62;90;90;63;45;67;72;13;33;30;41;29;0;15;5;16;82;0;;;;
2024/25;Schomaker;Marius;22;2374;30;18;90;88;81;90;90;88;72;90;90;90;75;90;71;90;68;90;90;88;90;45;90;61;71;90;80;66;85;75;45;45;;;;
2024/25;Strätker;Joshua;23;10;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2024/25;Tillmann;Luca;24;1594;20;10;0;0;0;0;0;0;0;29;45;90;0;0;90;90;90;90;90;90;90;90;90;61;50;89;90;76;90;90;0;74;;;;
2024/25;Walbaum;Jan;25;615;11;0;0;0;0;27;90;90;45;0;72;54;0;29;76;59;0;28;45;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
2024/25;Wenkers;Dominik;26;319;16;0;11;8;24;8;45;3;24;45;45;0;16;0;2;1;8;0;0;3;0;0;0;0;0;1;0;0;0;0;75;0;;;;
2024/25;Wenning;Tom;27;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;;;;
2023/24;Befus;Tim;1;393;7;8;45;11;0;0;0;0;64;85;90;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Borgmann;Jonas;2;1321;22;0;0;0;0;0;0;68;90;90;90;0;23;31;11;38;90;20;30;0;90;90;90;23;16;90;90;75;81;5;90;0;0;;;
2023/24;Böggemann;Janes;3;953;18;45;57;0;0;28;15;18;0;0;0;0;0;0;0;0;0;70;90;0;78;57;17;31;16;90;90;90;21;55;85;0;0;;;
2023/24;Büchter;Jakob;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2023/24;Drewes;Malte;5;531;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;55;45;0;67;33;33;75;63;70;26;34;0;0;;;
